id,event_id,player_id,registered_at,status,checked_in,tournament_id,created_at
15e5db54-b191-425f-8686-bda003b41532,676bf816-4b15-491c-9a46-17e32b3b131f,5031f839-7710-477b-ac80-c4999a212547,2026-02-15 17:09:57.479815+00,registered,false,30daf664-740e-4aef-ab04-49ba602afb74,2026-02-15 17:09:57.479815+00
54a3e72e-f92d-4459-969a-bf25f506c62f,676bf816-4b15-491c-9a46-17e32b3b131f,92ff4fd8-9c6c-4366-a08f-9240a88aa926,2026-02-15 17:10:15.02896+00,registered,false,30daf664-740e-4aef-ab04-49ba602afb74,2026-02-15 17:10:15.02896+00
80c3cbed-aab6-4458-b090-6c2848a3d863,676bf816-4b15-491c-9a46-17e32b3b131f,a1ce164a-0dba-4841-acd4-cf10bf2d7f8d,2026-02-15 17:10:06.656262+00,registered,false,30daf664-740e-4aef-ab04-49ba602afb74,2026-02-15 17:10:06.656262+00
a7c6d517-44ae-4ada-82a0-846d09bce3a6,676bf816-4b15-491c-9a46-17e32b3b131f,d265b935-b147-4ccb-adca-9030725128aa,2026-02-15 17:10:11.167541+00,registered,false,30daf664-740e-4aef-ab04-49ba602afb74,2026-02-15 17:10:11.167541+00
