id,created_at,unique_code,game_name,owner_id,location,latitude,longitude,is_public,serial_number,verified,registered_at,image_url,privacy_mode,model
9a7df0a9-a5c0-4ace-b955-ce472c5f3580,2026-02-15T16:33:27.326885+00:00,,Pasila Table #1,5031f839-7710-477b-ac80-c4999a212547,Main Hall,,,true,,true,,,public,
d4fee956-719c-420d-b963-86e8890e9977,2026-03-25T05:25:22.677055+00:00,,Subsoccer Jollas,054f6378-95c5-4f5b-a678-745e585a01fc,"Jollaksentie 17, helsinki",60.1660139,25.0549759,true,SS3-V02-25PO111-)LJ(+,false,,https://ujxmmrsmdwrgcwatdhvx.supabase.co/storage/v1/object/public/venue_images/venue_SS3-V02-25PO111-)LJ(+_1774416475212.jpg,public,
dbe5db28-7859-4ce7-9697-2dc5453d6f47,2026-03-25T20:29:03.9384+00:00,,Subsoccer HQ,,Melkonkatu 24,60.1520189,24.882294,true,SS3-V02-25PO111-A97D,false,,,public,
69af6be3-117a-4cf8-a098-13d8611cfa0b,2026-03-25T20:31:57.273359+00:00,,SuperPark Tamisto,054f6378-95c5-4f5b-a678-745e585a01fc,"Kauppatie 13, Vantaa",60.2767283,24.9725679,true,SS3-V02-25PO111-296R6,false,,https://ujxmmrsmdwrgcwatdhvx.supabase.co/storage/v1/object/public/venue_images/venue_SS3-V02-25PO111-296R6_1774470788615.jpg,public,
dc1dd237-5337-4da3-aa84-d9b33249b232,2026-03-25T20:39:52.687037+00:00,,Ideafix Oy,054f6378-95c5-4f5b-a678-745e585a01fc,Härkälenkki 2,60.294643,24.8508884,true,DEMO-SUB-001,false,,https://ujxmmrsmdwrgcwatdhvx.supabase.co/storage/v1/object/public/venue_images/venue_DEMO-SUB-001_1774471207248.jpg,public,
